game_no,Home_team,Away_team,half_time_score,home_score,away_score,home_odds,draw_odds,away_odds,game_id,outcome,home_wins,draws_no,away_wins,game_count,1/2
8,NOT,EVE,0-0,1,1,2.7,3.6,2.55,242,x,0,2,2,4,0
9,SHU,BRE,0-1,0,1,2.85,3.35,2.55,284,2,2,2,2,6,1
10,TOT,CRY,2-0,3,0,1.71,4.15,4.5,103,1,7,0,0,7,1
1,ARS,LUT,0-0,1,0,1.35,5.25,8.5,20,1,6,1,0,7,1
2,BHA,BRE,0-1,0,1,1.75,3.85,4.7,354,2,2,0,1,3,1
3,BUR,BOU,1-2,1,3,2.13,3.5,3.45,370,2,2,0,2,4,1
4,CHE,TOT,0-0,1,1,2.01,3.9,3.4,120,x,2,2,3,7,0
5,CRY,WHU,0-0,0,0,2.5,3.6,2.7,219,x,4,1,1,6,0
6,EVE,FUL,1-2,1,4,1.9,3.7,4.0,326,2,3,1,1,5,1
7,LIV,MCI,1-0,3,1,2.35,4.15,2.65,173,1,2,1,1,4,1
8,MUN,NOT,0-0,2,0,1.41,5.25,6.75,7,1,7,0,0,7,1
9,NEW,AST,0-1,2,3,2.05,3.8,3.35,320,2,2,2,2,6,1
10,SHU,WOL,2-0,3,0,2.65,3.4,2.65,277,1,2,1,1,4,1
1,ARS,AST,1-1,1,1,1.92,3.95,3.65,87,x,2,2,3,7,0
2,BOU,EVE,0-0,0,0,3.0,3.4,2.4,154,x,0,2,2,4,0
3,CRY,BUR,0-0,1,0,1.79,3.85,4.35,13,1,4,3,2,9,1
4,FUL,LUT,0-0,1,1,1.9,3.75,3.95,340,x,4,1,1,6,0
5,LIV,BHA,2-1,3,1,2.07,4.0,3.15,232,1,4,3,1,8,1
6,MUN,SHU,2-0,3,2,1.4,5.25,7.25,167,1,5,0,1,6,1
7,NEW,CHE,0-0,0,0,2.18,3.8,3.1,353,x,1,2,1,4,0
8,NOT,MCI,0-1,0,1,4.3,4.3,1.72,275,2,2,0,5,7,1
9,WHU,BRE,0-0,0,0,1.91,3.65,4.0,49,x,6,1,1,8,0
10,WOL,TOT,1-2,1,2,3.0,3.65,2.3,216,2,2,1,4,7,1
1,ARS,CRY,1-0,1,1,1.59,4.4,5.25,50,x,3,3,0,6,0
2,AST,EVE,1-0,1,0,1.82,3.8,4.25,98,1,4,1,1,6,1
3,CHE,BUR,0-2,2,2,1.44,4.75,7.0,240,x,3,1,0,4,0
4,FUL,BOU,0-1,1,1,1.94,3.7,3.85,250,x,2,2,2,6,0
5,LUT,NOT,0-0,1,0,2.4,3.65,2.85,16,1,4,1,1,6,1
6,MUN,BHA,0-0,1,0,2.04,3.95,3.3,174,1,4,3,3,10,1
7,NEW,BRE,1-1,3,3,1.72,3.95,4.75,102,x,3,2,0,5,0
8,SHU,MCI,0-1,2,2,4.7,4.15,1.69,315,x,1,2,3,6,0
9,TOT,LIV,2-0,4,0,2.1,4.1,3.05,18,1,2,2,3,7,1
10,WOL,WHU,0-1,0,1,2.7,3.55,2.55,133,2,0,1,5,6,1
1,AST,FUL,1-0,1,2,1.58,4.35,5.5,61,2,2,2,1,5,1
2,BHA,MCI,1-0,1,0,2.4,3.8,2.75,153,1,2,2,0,4,1
3,BOU,LUT,0-0,0,1,2.17,3.5,3.35,135,2,2,1,5,8,1
4,BUR,BRE,0-1,0,1,2.8,3.35,2.6,332,2,1,2,1,4,1
5,CHE,ARS,1-0,3,2,2.19,3.85,3.05,33,1,6,1,2,9,1
6,EVE,CRY,0-0,1,0,2.14,3.55,3.35,231,1,5,3,1,9,1
7,MUN,TOT,0-0,1,0,1.98,4.1,3.35,114,1,3,1,1,5,1
8,NEW,WOL,1-0,1,0,1.63,4.15,5.25,140,1,5,1,2,8,1
9,NOT,SHU,0-1,0,1,2.03,3.7,3.5,38,2,7,0,2,9,1
10,WHU,LIV,0-1,0,2,2.35,3.95,2.75,68,2,5,0,2,7,1
1,ARS,TOT,0-2,2,3,1.93,4.0,3.6,70,2,3,0,2,5,1
2,AST,LUT,1-0,2,0,1.45,4.65,7.0,204,1,3,2,1,6,1
