,homeTeam,awayTeam,homeOdds,drawOdds,awayOdds,homePastWins,homePastDraws,homePastLosses,awayPastWins,awayPastDraws,awayPastLosses,homeGoalDiff,awayGoalDiff,result,check
81,5,8,2.14,3.55,3.35,8,3,6,3,4,10,1,-18,1,EVE - CRY
82,11,6,2.9,3.65,2.35,3,6,8,5,8,4,-4,6,2,FUL - WHU
83,0,19,1.38,5.25,7.5,11,1,5,3,3,11,10,-22,0,LIV - BOU
84,16,1,4,3.75,1.89,3,6,8,2,5,10,-11,-15,2,LUT - AST
85,3,17,1.34,5.5,8.5,8,5,4,3,4,10,8,-6,0,MCI - BUR
86,9,13,1.4,5.25,7.25,12,4,1,5,6,6,18,-6,0,MUN - SHU
87,10,4,3.6,3.95,1.94,4,3,10,11,3,3,-18,18,2,NOT - NEW
88,2,14,2.18,3.75,3.15,10,2,5,5,4,8,14,-5,1,TOT - BHA
89,15,7,3.2,3.65,2.17,8,3,6,10,4,3,4,18,2,WOL - CHE
90,12,13,1.39,5,7.75,12,5,1,5,6,7,20,-9,0,ARS - SHU
91,1,5,1.82,3.8,4.25,3,5,10,8,4,6,-12,1,2,AST - EVE
92,14,16,1.43,4.75,7.25,5,5,8,3,6,9,-5,-14,1,BHA - LUT
93,19,17,2.3,3.45,3.1,3,3,12,3,4,11,-24,-12,2,BOU - BUR
94,18,3,3.4,3.7,2.08,2,7,9,9,5,4,-12,14,2,BRE - MCI
95,11,15,2.35,3.55,3,3,6,9,8,3,7,-6,2,0,FUL - WOL
96,0,6,1.85,4.2,3.75,12,1,5,6,8,4,12,8,0,LIV - WHU
97,9,2,1.98,4.1,3.35,13,4,1,10,3,5,21,14,0,MUN - TOT
98,4,7,2.18,3.8,3.1,12,3,3,11,4,3,19,20,0,NEW - CHE
99,10,8,2.55,3.75,2.6,4,3,11,3,5,10,-19,-18,1,NOT - CRY
100,12,2,1.93,4,3.6,13,5,1,10,3,6,21,12,2,ARS - TOT
101,1,10,1.51,4.65,6,3,5,11,4,4,11,-14,-19,0,AST - NOT
102,14,5,1.78,3.8,4.45,5,6,8,9,4,6,-5,3,2,BHA - EVE
103,19,18,2.9,3.35,2.5,3,3,13,2,7,10,-25,-13,0,BOU - BRE
104,8,7,2.95,3.7,2.3,3,6,10,11,4,4,-18,17,0,CRY - CHE
105,0,11,1.48,4.95,6,13,1,5,4,6,9,13,-5,0,LIV - FUL
106,9,16,1.36,5.5,8,14,4,1,3,7,9,23,-14,1,MUN - LUT
107,4,15,1.63,4.15,5.25,13,3,3,8,3,8,22,1,0,NEW - WOL
108,13,3,4.7,4.15,1.69,5,6,8,10,5,4,-10,15,0,SHU - MCI
109,6,17,1.6,4.2,5.5,6,8,5,4,4,11,7,-11,0,WHU - BUR
0,12,16,1.35,5.25,8.5,6,5,4,3,4,8,3,-9,0,ARS - LUT
1,14,19,1.45,4.6,7,5,0,10,4,3,8,2,-13,0,BHA - BOU
2,17,18,2.8,3.35,2.6,5,6,4,2,6,7,-1,-7,1,BUR - BRE
3,0,6,1.85,4.2,3.75,10,1,4,5,3,7,14,-1,2,LIV - WHU
4,3,8,1.52,4.65,5.75,7,3,5,6,2,7,3,-3,0,MCI - CRY
5,9,11,1.47,4.9,6,10,1,4,4,4,7,15,-11,0,MUN - FUL
6,4,1,2.05,3.8,3.35,5,2,8,6,3,6,-4,3,0,NEW - AST
7,10,7,3.75,4,1.9,7,2,6,7,3,5,-5,4,0,NOT - CHE
8,13,2,3.8,3.8,1.93,7,2,6,8,4,3,-5,10,1,SHU - TOT
9,15,5,2.45,3.4,2.95,7,4,4,5,4,6,6,-1,2,WOL - EVE
10,12,10,1.39,5.25,7.25,7,5,4,8,2,6,6,-4,0,ARS - NOT
11,1,9,2.21,3.95,2.95,6,3,7,11,1,4,2,20,0,AST - MUN
12,14,6,1.94,3.8,3.75,6,0,10,6,3,7,3,2,2,BHA - WHU
13,8,18,2.19,3.5,3.3,6,2,8,2,7,7,-7,-7,1,CRY - BRE
14,5,19,1.74,3.8,4.8,6,4,6,4,3,9,0,-14,0,EVE - BOU
15,11,17,2,3.7,3.65,4,4,8,5,7,4,-16,-1,1,FUL - BUR
16,0,3,2.35,4.15,2.65,10,1,5,8,3,5,11,7,0,LIV - MCI
